Data;Ultimo;Apertura;Massimo;Minimo;Vol.;Var. %
01.09.1992;5,5002;5,5002;5,5002;5,5002;;1,73%
01.08.1992;5,4064;5,4064;5,4064;5,4064;;-0,25%
01.07.1992;5,42;5,42;5,42;5,42;;-0,77%
01.06.1992;5,4621;5,4621;5,4621;5,4621;;-0,53%
01.05.1992;5,4911;5,4911;5,4911;5,4911;;-0,34%
01.04.1992;5,5101;5,5101;5,5101;5,5101;;0,78%
01.03.1992;5,4675;5,4675;5,4675;5,4675;;-0,03%
01.02.1992;5,4693;5,4693;5,4693;5,4693;;0,01%
01.01.1992;5,4686;5,4686;5,4686;5,4686;;0,38%
01.12.1991;5,4478;5,4478;5,4478;5,4478;;0,67%
01.11.1991;5,4115;5,4115;5,4115;5,4115;;0,32%
01.10.1991;5,3944;5,3944;5,3944;5,3944;;0,08%
01.09.1991;5,3899;5,3899;5,3899;5,3899;;0,07%
01.08.1991;5,3862;5,3862;5,3862;5,3862;;0,48%
01.07.1991;5,3605;5,3605;5,3605;5,3605;;-0,16%
01.06.1991;5,369;5,369;5,369;5,369;;0,37%
01.05.1991;5,349;5,349;5,349;5,349;;0,86%
01.04.1991;5,3036;5,3036;5,3036;5,3036;;1,31%
01.03.1991;5,2352;5,2352;5,2352;5,2352;;0,00%
01.02.1991;5,2352;5,2352;5,2352;5,2352;;0,00%
01.01.1991;5,2352;5,2352;5,2352;5,2352;;0,00%
